Tilt Angle (degrees),Thickness (nm),Power (kWh/m²/a),Grad Tilt (kWh/deg),Grad Thickness (kWh/nm)
20.0,250.0,235.7122039794922,0.32232967019081116,-0.13730761408805847
20.0,260.0,233.1041259765625,0.31463468074798584,-0.32711997628211975
20.0,270.0,229.70399475097656,0.3051459789276123,-0.35189124941825867
20.0,280.0,226.0911102294922,0.29507219791412354,-0.3694235384464264
20.0,290.0,222.35427856445312,0.2872683107852936,-0.37704527378082275
20.0,300.0,218.96221923828125,0.2808700203895569,-0.15124979615211487
30.0,100.0,234.8115997314453,-0.2250123769044876,-0.942106306552887
30.0,110.0,228.35317993164062,-0.22009998559951782,-0.21663816273212433
30.0,120.0,228.1037139892578,-0.22490310668945312,0.04332059621810913
30.0,130.0,229.4564666748047,-0.2303382307291031,0.20527982711791992
30.0,140.0,231.54193115234375,-0.23709382116794586,0.20332297682762146
30.0,150.0,233.16123962402344,-0.2435503751039505,0.1232309341430664
30.0,160.0,234.09129333496094,-0.2518633306026459,0.11741891503334045
30.0,170.0,236.4590301513672,-0.2574734091758728,0.28931450843811035
30.0,180.0,238.19564819335938,-0.26150089502334595,0.24923419952392578
30.0,190.0,240.5754852294922,-0.2615964710712433,-0.08522835373878479
30.0,200.0,239.94129943847656,-0.2617673873901367,-1.0191065073013306
30.0,210.0,242.56121826171875,-0.26577213406562805,-0.09109199047088623
30.0,220.0,241.19358825683594,-0.26793187856674194,-0.07244816422462463
30.0,230.0,240.02540588378906,-0.26745226979255676,-0.17967328429222107
30.0,240.0,238.66189575195312,-0.26797768473625183,-0.20867958664894104
30.0,250.0,236.934326171875,-0.27125483751296997,-0.142828106880188
30.0,260.0,234.28297424316406,-0.2700098752975464,-0.3308127820491791
30.0,270.0,230.83908081054688,-0.2667321264743805,-0.35647472739219666
30.0,280.0,227.17727661132812,-0.2642672061920166,-0.373948335647583
30.0,290.0,223.39691162109375,-0.2624657452106476,-0.3819276988506317
30.0,300.0,219.96665954589844,-0.26010435819625854,-0.15269199013710022
40.0,100.0,230.0309600830078,-0.8710724115371704,-0.9245083928108215
40.0,110.0,223.68417358398438,-0.8483726978302002,-0.21574920415878296
40.0,120.0,223.3857879638672,-0.8487905263900757,0.0365273654460907
40.0,130.0,224.6488037109375,-0.857178807258606,0.1950523853302002
40.0,140.0,226.62855529785156,-0.8682475090026855,0.19105833768844604
40.0,150.0,228.14456176757812,-0.8774682283401489,0.11366155743598938
40.0,160.0,228.9820556640625,-0.882237434387207,0.10953515768051147
40.0,170.0,231.2506866455078,-0.8928630352020264,0.27776071429252625
40.0,180.0,232.89332580566406,-0.9027948975563049,0.23987263441085815
40.0,190.0,235.2195281982422,-0.9086613655090332,-0.07735177874565125
40.0,200.0,234.61798095703125,-0.8970761299133301,-0.991366982460022
40.0,210.0,237.13880920410156,-0.9037612676620483,-0.09319058060646057
40.0,220.0,235.76138305664062,-0.8979525566101074,-0.07091382145881653
40.0,230.0,234.6260986328125,-0.8886306285858154,-0.1742372214794159
40.0,240.0,233.2886505126953,-0.8823055624961853,-0.20802628993988037
40.0,250.0,231.56260681152344,-0.8750780820846558,-0.14171656966209412
40.0,260.0,228.962646484375,-0.8639310002326965,-0.3238488733768463
40.0,270.0,225.6022186279297,-0.8500319123268127,-0.3481825590133667
40.0,280.0,222.02474975585938,-0.8328448534011841,-0.36527663469314575
40.0,290.0,218.31759643554688,-0.8175672292709351,-0.3750196695327759
40.0,300.0,214.94564819335938,-0.8058770895004272,-0.15097728371620178
50.0,100.0,219.99380493164062,-1.243874192237854,-0.8901348114013672
50.0,110.0,213.85714721679688,-1.2069227695465088,-0.2151048183441162
50.0,120.0,213.4639892578125,-1.2028688192367554,0.023518264293670654
50.0,130.0,214.53982543945312,-1.2072513103485107,0.17152559757232666
50.0,140.0,216.28724670410156,-1.2158859968185425,0.17016178369522095
50.0,150.0,217.60069274902344,-1.220040202140808,0.09518513083457947
50.0,160.0,218.27899169921875,-1.21982741355896,0.09055235981941223
50.0,170.0,220.279296875,-1.227932333946228,0.24832943081855774
50.0,180.0,221.68028259277344,-1.231120228767395,0.21181827783584595
50.0,190.0,223.74813842773438,-1.2396454811096191,-0.07963448762893677
50.0,200.0,223.06202697753906,-1.2290247678756714,-0.9614397287368774
50.0,210.0,225.3739776611328,-1.2369142770767212,-0.0948018729686737
50.0,220.0,223.9971923828125,-1.2240655422210693,-0.07486188411712646
50.0,230.0,222.8418426513672,-1.2147349119186401,-0.17150139808654785
50.0,240.0,221.5457000732422,-1.199044942855835,-0.19553804397583008
50.0,250.0,219.94459533691406,-1.175942301750183,-0.1311233639717102
50.0,260.0,217.49078369140625,-1.1547915935516357,-0.3067860007286072
50.0,270.0,214.30203247070312,-1.133935570716858,-0.32974764704704285
50.0,280.0,210.92440795898438,-1.1120738983154297,-0.344804584980011
50.0,290.0,207.42347717285156,-1.0886996984481812,-0.3562486469745636
50.0,300.0,204.21334838867188,-1.068915605545044,-0.14631801843643188
60.0,100.0,204.44903564453125,-1.996045708656311,-0.8331944942474365
60.0,110.0,198.68064880371094,-1.9396178722381592,-0.2101168930530548
60.0,120.0,198.1810760498047,-1.9359147548675537,0.007503882050514221
60.0,130.0,199.02130126953125,-1.9446964263916016,0.14209698140621185
60.0,140.0,200.48255920410156,-1.9579706192016602,0.14282934367656708
60.0,150.0,201.54351806640625,-1.967983603477478,0.07075205445289612
60.0,160.0,201.98922729492188,-1.9702627658843994,0.06420910358428955
60.0,170.0,203.64976501464844,-1.977827548980713,0.21247020363807678
60.0,180.0,204.7676239013672,-1.9835320711135864,0.17068767547607422
60.0,190.0,206.4633331298828,-1.996477723121643,-0.09048336744308472
60.0,200.0,205.60716247558594,-1.9848347902297974,-0.9163474440574646
60.0,210.0,207.51853942871094,-2.0049760341644287,-0.1070505678653717
60.0,220.0,206.08726501464844,-1.9924957752227783,-0.08195200562477112
60.0,230.0,204.94622802734375,-1.9730985164642334,-0.16137567162513733
60.0,240.0,203.76611328125,-1.9462199211120605,-0.17593702673912048
60.0,250.0,202.3661651611328,-1.9154828786849976,-0.11043840646743774
60.0,260.0,200.18887329101562,-1.8762633800506592,-0.2772047817707062
60.0,270.0,197.2891082763672,-1.8359694480895996,-0.301688015460968
60.0,280.0,194.18528747558594,-1.7978143692016602,-0.3176882863044739
60.0,290.0,190.95484924316406,-1.7632286548614502,-0.32803264260292053
60.0,300.0,187.99148559570312,-1.7337584495544434,-0.13587558269500732
70.0,100.0,183.1642303466797,-2.348278045654297,-0.7534991502761841
70.0,110.0,177.92440795898438,-2.2792186737060547,-0.1986866146326065
70.0,120.0,177.35311889648438,-2.269516944885254,-0.006511077284812927
70.0,130.0,177.96231079101562,-2.2747392654418945,0.11247995495796204
70.0,140.0,179.11679077148438,-2.286181688308716,0.11220595240592957
70.0,150.0,179.90545654296875,-2.2908143997192383,0.0457686185836792
70.0,160.0,180.1405792236328,-2.28377103805542,0.04184913635253906
70.0,170.0,181.46458435058594,-2.2884883880615234,0.17295143008232117
70.0,180.0,182.2394256591797,-2.2990803718566895,0.12307751178741455
70.0,190.0,183.47000122070312,-2.315584897994995,-0.10955095291137695
70.0,200.0,182.37387084960938,-2.2992396354675293,-0.8509290814399719
70.0,210.0,183.844482421875,-2.311612129211426,-0.11219921708106995
70.0,220.0,182.42025756835938,-2.2858223915100098,-0.08407166600227356
70.0,230.0,181.3188934326172,-2.261228322982788,-0.14860185980796814
70.0,240.0,180.2635040283203,-2.237785816192627,-0.15336021780967712
70.0,250.0,179.07931518554688,-2.209595203399658,-0.0891665518283844
70.0,260.0,177.25038146972656,-2.171962022781372,-0.2336675524711609
70.0,270.0,174.79298400878906,-2.123311758041382,-0.258396714925766
70.0,280.0,172.10238647460938,-2.072695255279541,-0.2776274085044861
70.0,290.0,169.26318359375,-2.028690814971924,-0.28921258449554443
70.0,300.0,166.62908935546875,-1.9863643646240234,-0.12319546937942505
80.0,100.0,156.7285614013672,-2.681192398071289,-0.6497994661331177
80.0,110.0,152.1983184814453,-2.6015031337738037,-0.17645962536334991
80.0,120.0,151.6228485107422,-2.590156316757202,-0.015553370118141174
80.0,130.0,152.0403594970703,-2.5921781063079834,0.08555024862289429
80.0,140.0,152.92251586914062,-2.603057861328125,0.08535343408584595
80.0,150.0,153.48216247558594,-2.606616497039795,0.02661791443824768
80.0,160.0,153.55062866210938,-2.602846384048462,0.018417343497276306
80.0,170.0,154.46412658691406,-2.6157422065734863,0.12166090309619904
80.0,180.0,154.84442138671875,-2.6223409175872803,0.0751214325428009
80.0,190.0,155.59056091308594,-2.6342623233795166,-0.12382037937641144
80.0,200.0,154.3603973388672,-2.602619171142578,-0.7533519864082336
80.0,210.0,155.42344665527344,-2.609361171722412,-0.1064717024564743
80.0,220.0,154.11050415039062,-2.575248956680298,-0.08107586205005646
80.0,230.0,153.0997772216797,-2.547008991241455,-0.13193966448307037
80.0,240.0,152.16943359375,-2.520812511444092,-0.1300172507762909
80.0,250.0,151.18052673339844,-2.490880250930786,-0.07148274779319763
80.0,260.0,149.69215393066406,-2.4537556171417236,-0.19113320112228394
80.0,270.0,147.68612670898438,-2.4059228897094727,-0.2098686844110489
80.0,280.0,145.4908905029297,-2.355087995529175,-0.22825263440608978
80.0,290.0,143.14393615722656,-2.304499864578247,-0.2407064586877823
80.0,300.0,140.9493408203125,-2.258326768875122,-0.101622074842453
90.0,100.0,126.31852722167969,-2.5171563625335693,-0.5266793370246887
90.0,110.0,122.649169921875,-2.439159631729126,-0.14458876848220825
90.0,120.0,122.14976501464844,-2.4226186275482178,-0.016077622771263123
90.0,130.0,122.43144989013672,-2.422069787979126,0.06199119985103607
90.0,140.0,123.07062530517578,-2.429281711578369,0.06059347093105316
90.0,150.0,123.41837310791016,-2.4311091899871826,0.007727131247520447
90.0,160.0,123.32179260253906,-2.4228005409240723,-0.002721235156059265
90.0,170.0,123.86982727050781,-2.4242961406707764,0.07889479398727417
90.0,180.0,123.97283172607422,-2.4185543060302734,0.04021860659122467
90.0,190.0,124.36251831054688,-2.4160537719726562,-0.11927883327007294
90.0,200.0,123.17826843261719,-2.374074935913086,-0.6306682229042053
90.0,210.0,123.866455078125,-2.375476598739624,-0.09578987956047058
90.0,220.0,122.7346420288086,-2.3408730030059814,-0.07154534757137299
90.0,230.0,121.86346435546875,-2.3092422485351562,-0.11145845055580139
90.0,240.0,121.07095336914062,-2.2820656299591064,-0.10672672092914581
90.0,250.0,120.26182556152344,-2.2556934356689453,-0.05590850114822388
90.0,260.0,119.09760284423828,-2.2239937782287598,-0.14877746999263763
90.0,270.0,117.54344177246094,-2.181720018386841,-0.16254468262195587
90.0,280.0,115.84162139892578,-2.1349244117736816,-0.17695310711860657
90.0,290.0,114.00382995605469,-2.086202621459961,-0.18977360427379608
90.0,300.0,112.2739028930664,-2.0430543422698975,-0.07929302752017975
