Tilt Angle (degrees),Thickness (nm),Power (kWh/m²/a),Grad Tilt (kWh/deg),Grad Thickness (kWh/nm)
0.0,0.0,334.2275085449219,2.5302529335021973,-1.3457767963409424
0.0,10.0,320.85626220703125,2.430351972579956,-1.3281147480010986
0.0,20.0,307.6622009277344,2.331831455230713,-1.3106179237365723
0.0,30.0,294.6874084472656,2.234666347503662,-1.2838752269744873
0.0,40.0,281.94537353515625,2.1380538940429688,-1.2645115852355957
0.0,50.0,269.3946533203125,2.043494462966919,-1.2456376552581787
0.0,60.0,257.1371154785156,1.9511903524398804,-1.1941170692443848
0.0,70.0,245.28428649902344,1.8608726263046265,-1.1764487028121948
0.0,80.0,233.9191131591797,1.7740579843521118,-1.1139848232269287
0.0,90.0,223.74591064453125,1.6941653490066528,-0.9238660335540771
0.0,100.0,214.82350158691406,1.623248815536499,-0.8739743828773499
0.0,110.0,208.8452911376953,1.5736641883850098,-0.20466385781764984
0.0,120.0,208.52371215820312,1.5620880126953125,0.029636681079864502
0.0,130.0,209.6305694580078,1.5606504678726196,0.17283567786216736
0.0,140.0,211.39794921875,1.5630398988723755,0.17330840229988098
0.0,150.0,212.74591064453125,1.5608807802200317,0.09590893983840942
0.0,160.0,213.4071044921875,1.553156852722168,0.08363264799118042
0.0,170.0,215.29917907714844,1.5485831499099731,0.23746266961097717
0.0,180.0,216.6147918701172,1.5393282175064087,0.19370120763778687
0.0,190.0,218.31996154785156,1.5455976724624634,-0.11062890291213989
0.0,200.0,217.3635711669922,1.5205134153366089,-0.9923050403594971
0.0,210.0,219.38909912109375,1.5249755382537842,-0.10554042458534241
0.0,220.0,217.97406005859375,1.505332589149475,-0.07607382535934448
0.0,230.0,216.85047912597656,1.4855623245239258,-0.16589924693107605
0.0,240.0,215.6444091796875,1.4633257389068604,-0.18180206418037415
0.0,250.0,214.1488494873047,1.4371812343597412,-0.11762434244155884
0.0,260.0,211.83624267578125,1.4099748134613037,-0.29275640845298767
0.0,270.0,208.7971649169922,1.3788063526153564,-0.314961314201355
0.0,280.0,205.54345703125,1.3498516082763672,-0.3348732590675354
0.0,290.0,202.13844299316406,1.322525143623352,-0.3447737693786621
0.0,300.0,199.02162170410156,1.297619104385376,-0.14083155989646912
10.0,0.0,353.4034118652344,1.6463501453399658,-1.4199113845825195
10.0,10.0,339.2958984375,1.5814200639724731,-1.4012125730514526
10.0,20.0,325.378173828125,1.5176433324813843,-1.3826770782470703
10.0,30.0,311.68939208984375,1.4547927379608154,-1.3546046018600464
10.0,40.0,298.2401123046875,1.3927630186080933,-1.3352503776550293
10.0,50.0,284.98895263671875,1.330581545829773,-1.314669132232666
10.0,60.0,272.05548095703125,1.2702497243881226,-1.2594736814498901
10.0,70.0,259.5511169433594,1.2124141454696655,-1.241487979888916
10.0,80.0,247.55567932128906,1.1566392183303833,-1.175767183303833
10.0,90.0,236.8336944580078,1.1047048568725586,-0.9728437066078186
10.0,100.0,227.43829345703125,1.0595473051071167,-0.9203096628189087
10.0,110.0,221.14938354492188,1.0256394147872925,-0.2114977240562439
10.0,120.0,220.86659240722656,1.017281174659729,0.037063270807266235
10.0,130.0,222.10299682617188,1.0139216184616089,0.19059818983078003
10.0,140.0,224.05258178710938,1.01396906375885,0.19073379039764404
10.0,150.0,225.55648803710938,1.0107496976852417,0.11195060610771179
10.0,160.0,226.36529541015625,1.004904866218567,0.1005282998085022
10.0,170.0,228.48529052734375,1.0032129287719727,0.2615627944469452
10.0,180.0,229.973876953125,0.9962640404701233,0.2185327112674713
10.0,190.0,232.00421142578125,0.9988406896591187,-0.10306134819984436
10.0,200.0,231.181640625,0.9829471111297607,-1.0213605165481567
10.0,210.0,233.50119018554688,0.9848477840423584,-0.10051393508911133
10.0,220.0,232.0912628173828,0.9713921546936035,-0.07331863045692444
10.0,230.0,230.9393768310547,0.9542084336280823,-0.17526620626449585
10.0,240.0,229.62869262695312,0.9349943995475769,-0.19885024428367615
10.0,250.0,227.99871826171875,0.9189233779907227,-0.12969201803207397
10.0,260.0,225.50010681152344,0.9012187719345093,-0.3149728775024414
10.0,270.0,222.23272705078125,0.8805462121963501,-0.3378472328186035
10.0,280.0,218.75294494628906,0.8608583211898804,-0.3564322590827942
10.0,290.0,215.13833618164062,0.8436747193336487,-0.36584481596946716
10.0,300.0,211.8474884033203,0.8292381167411804,-0.14645060896873474
20.0,0.0,363.24371337890625,0.642553448677063,-1.45659601688385
20.0,10.0,348.7686462402344,0.6177089214324951,-1.4379183053970337
20.0,20.0,334.4879455566406,0.5929343700408936,-1.418423056602478
20.0,30.0,320.44488525390625,0.5689457654953003,-1.389609456062317
20.0,40.0,306.6463928222656,0.5452823042869568,-1.3700016736984253
20.0,50.0,293.0454406738281,0.5217113494873047,-1.350105881690979
20.0,60.0,279.7696533203125,0.4981238842010498,-1.2924134731292725
20.0,70.0,266.94146728515625,0.4748176336288452,-1.273042917251587
20.0,80.0,254.64706420898438,0.45311710238456726,-1.2051255702972412
20.0,90.0,243.6620330810547,0.4333605170249939,-0.9952256679534912
20.0,100.0,234.05491638183594,0.41544219851493835,-0.9411849975585938
20.0,110.0,227.62197875976562,0.40096569061279297,-0.21469998359680176
20.0,120.0,227.3721466064453,0.39394107460975647,0.04272669553756714
20.0,130.0,228.6976318359375,0.3897706866264343,0.20260649919509888
20.0,140.0,230.76089477539062,0.3868403732776642,0.20132195949554443
20.0,150.0,232.36607360839844,0.3810969591140747,0.12271773815155029
20.0,160.0,233.28102111816406,0.3744550049304962,0.11363875865936279
20.0,170.0,235.5804901123047,0.3710424304008484,0.28220582008361816
20.0,180.0,237.2327880859375,0.3679186999797821,0.2395792305469513
20.0,190.0,239.49610900878906,0.36866360902786255,-0.09671688079833984
20.0,200.0,238.7811279296875,0.3591853976249695,-1.0278319120407104
20.0,210.0,241.322998046875,0.3594282865524292,-0.09464725852012634
20.0,220.0,239.94781494140625,0.34965425729751587,-0.07080584764480591
20.0,230.0,238.77264404296875,0.3394657373428345,-0.18182480335235596
20.0,240.0,237.40673828125,0.3305605351924896,-0.20570659637451172
20.0,250.0,235.7122039794922,0.32232967019081116,-0.13730761408805847
20.0,260.0,233.1041259765625,0.31463468074798584,-0.32711997628211975
20.0,270.0,229.70399475097656,0.3051459789276123,-0.35189124941825867
20.0,280.0,226.0911102294922,0.29507219791412354,-0.3694235384464264
20.0,290.0,222.35427856445312,0.2872683107852936,-0.37704527378082275
20.0,300.0,218.96221923828125,0.2808700203895569,-0.15124979615211487
30.0,0.0,364.26220703125,-0.35168665647506714,-1.4595630168914795
30.0,10.0,349.75811767578125,-0.3370605707168579,-1.4408899545669556
30.0,20.0,335.4467468261719,-0.3229128122329712,-1.421536922454834
30.0,30.0,321.3763732910156,-0.30870717763900757,-1.3924083709716797
30.0,40.0,307.5513000488281,-0.29475635290145874,-1.372757911682129
30.0,50.0,293.92303466796875,-0.28100723028182983,-1.353046178817749
30.0,60.0,280.61468505859375,-0.2680707573890686,-1.2954332828521729
30.0,70.0,267.756591796875,-0.2553018629550934,-1.276505947113037
30.0,80.0,255.4340057373047,-0.2435896098613739,-1.2073824405670166
30.0,90.0,244.4310302734375,-0.2335948348045349,-0.9963436722755432
30.0,100.0,234.8115997314453,-0.2250123769044876,-0.942106306552887
30.0,110.0,228.35317993164062,-0.22009998559951782,-0.21663816273212433
30.0,120.0,228.1037139892578,-0.22490310668945312,0.04332059621810913
30.0,130.0,229.4564666748047,-0.2303382307291031,0.20527982711791992
