theta [deg],vacuum wavelength [um],absorption in whole stack [unitless],absorption in active material [unitless],absorption in active material [#photons/(m^2s)],Transmission Coeff [unitless],Reflection Coeff [unitless]
0,1.200,0.47828695017802436,0.3703478755585505,2969298155951787.5,0.16443324761848183,0.3569120441112497
0,1.180,0.5262836653859363,0.4083964643647022,3219783612712794.0,0.1806358332998447,0.2926156508349029
0,1.160,0.5868229193445992,0.4567959495410421,3540323422368939.5,0.20083260212735268,0.21176093174232474
0,1.140,0.6530489800476746,0.5103900100208125,3887493907238163.0,0.22257274756513737,0.12366004037524236
0,1.120,0.710805057974929,0.5582086637391892,4177123350540297.5,0.2409550926655434,0.047389189171515425
0,1.100,0.742874980351321,0.5865985287916127,4311182020233112.5,0.25016810713060655,0.006004241421183806
0,1.080,0.7383956372149423,0.5898801251514422,4256476343175592.0,0.25032809762021335,0.010314662303495639
0,1.060,0.7094108777109447,0.5737342593503505,4063304355554916.0,0.24156628151449466,0.04810949810701857
0,1.040,0.6744412203990598,0.5523704013103193,3838189765053140.5,0.2309482364552883,0.09376665930278408
0,1.020,0.6506037926171265,0.539416525716853,3676098367737466.0,0.2240704773039497,0.12454885419278305
0,1.000,0.6476018158126121,0.5431442025036352,3628923833836009.5,0.22412686786135289,0.12754923444939978
0,0.980,0.7005584024555455,0.6068051994906216,3973178474447853.0,0.2131962691415004,0.08556028723716137
0,0.960,0.7860105920480042,0.7033365553624176,4511252418988834.0,0.19270410305345023,0.020643697063124026
0,0.940,0.8328737846600172,0.764467513482588,4801197739122775.0,0.1561170699059094,0.01043408437186745
0,0.920,0.8171088409171464,0.7645277216736837,4699414684681447.0,0.10921741593240207,0.07310744381368627
0,0.900,0.7951340101892401,0.7545578795443615,4537302901179491.0,0.06880493647845937,0.13528880338823077
0,0.880,0.818401518561989,0.7842030935740355,4610774983281419.0,0.04076291118699769,0.1394869013246607
0,0.860,0.8861638349716187,0.8536577014945825,4905066716290202.0,0.024080822050875524,0.08746818579936912
0,0.840,0.959264582706487,0.925816387257236,5195972627359577.0,0.017012939735063796,0.02054102310598206
0,0.820,0.9740677026113184,0.940020591986269,5150079397260759.0,0.016722572112004334,0.00578688143394569
0,0.800,0.918347033647762,0.8851959250366365,4731426498042702.0,0.021356903581350103,0.057330470622409015
0,0.780,0.8611288771720699,0.8283566822493679,4316926828556746.0,0.030761601044622555,0.10575677589262333
0,0.760,0.8524317494327469,0.8185014580541974,4156193458307816.5,0.0427369625738914,0.10289019446207545
