theta [deg],vacuum wavelength [um],absorption in whole stack [unitless],absorption in active material [unitless],absorption in active material [#photons/(m^2s)],Transmission Coeff [unitless],Reflection Coeff [unitless]
1,1.080,0.37889997335927406,0.27545272197168996,1987318056195455.0,0.17141041292915166,0.4500512174113281
1,1.060,0.4280526690917984,0.31072765821407744,2200302194317551.5,0.1986652265020411,0.37370312230056335
1,1.040,0.48035959580222914,0.3485369192370456,2421467709084333.5,0.229204880653912,0.2909162213715349
1,1.020,0.518627908156237,0.37640583233177466,2564797433764054.5,0.25459343716760313,0.2272977662279845
1,1.000,0.5243197614179379,0.38095066603423355,2544868181714904.0,0.2646162725607152,0.21157868678702407
1,0.980,0.5216989425806725,0.3948025052759737,2584654693778409.5,0.24562258436043796,0.23313501932737432
1,0.960,0.5162065317056821,0.4116985862613615,2640262839802517.5,0.21042834414990033,0.2737035221662863
1,0.940,0.5374559130220874,0.4509647955440277,2831829152390577.0,0.1799260162893062,0.28277807863693016
1,0.920,0.6035242930977649,0.5299470206460569,3256993087546728.0,0.1546316100614269,0.24171135665427063
1,0.900,0.7035422060496632,0.6409267794419762,3853430068285759.5,0.12659069446495597,0.16923517797599438
1,0.880,0.7985817108062665,0.7463584146479775,4387596286946708.5,0.09294923449970223,0.10710376392797366
1,0.860,0.8736377298375384,0.8281126168746755,4757561459308787.0,0.06489069637253343,0.05925324177534776
1,0.840,0.9333524239304625,0.8898631451834479,4993431090118809.0,0.05152033538158206,0.012250786560721719
1,0.820,0.9382500572140223,0.8955139634767809,4905494228004595.0,0.05116082127964544,0.007724110611879508
1,0.800,0.8740938638880162,0.8330403586111511,4451973636971424.0,0.05946883719330765,0.06422196709396938
1,0.780,0.7899704238776504,0.7500825894584148,3908411137970328.0,0.07387513725072269,0.13468564987787
1,0.760,0.7238027128111324,0.6840538261388875,3472965133467478.5,0.08840954618264095,0.18678571479062636
1,0.740,0.7138557143047671,0.6722668873736669,3323303422828442.5,0.09916484275843007,0.1860863662547364
1,0.720,0.779219890389308,0.7330530528796338,3525855078889903.5,0.10778690343078748,0.11192959802459986
1,0.700,0.8561673425431576,0.8038224370989488,3758847610510470.0,0.1204081087694714,0.02224575983607835
1,0.680,0.835436412490138,0.7785195460847315,3536510794858048.5,0.13824393331163734,0.025380896179098365
1,0.660,0.7189978609276771,0.6619988936533473,2918755752013137.5,0.14607320128513013,0.13430840058621707
1,0.640,0.6669998376498852,0.6063820466335024,2592524463084510.5,0.15752420176843315,0.17500813755794942
