theta [deg],vacuum wavelength [um],absorption in whole stack [unitless],absorption in active material [unitless],absorption in active material [#photons/(m^2s)],Transmission Coeff [unitless],Reflection Coeff [unitless]
1,1.120,0.38226514798839345,0.2679907041226679,2005092013039209.8,0.2266431881249234,0.39078870104479874
1,1.100,0.3602010164464236,0.2522353264985296,1853510927628051.0,0.21408431929811675,0.4254548315842751
1,1.080,0.34589135874206145,0.244280258061089,1762417028018266.0,0.20993024270024407,0.4439749226262861
1,1.060,0.34343055027267255,0.244697567163844,1732734694649657.0,0.21268619204551137,0.44373690940221205
1,1.040,0.35313675267395145,0.25384321114987063,1763581144617964.5,0.22375868606848365,0.423016032923349
1,1.020,0.3754831933833261,0.2720830164925299,1853950610031275.5,0.2437311359957658,0.38076123171854975
1,1.000,0.40869706395479666,0.2982312117270486,1992276662538356.0,0.27176066126959253,0.3195949573752127
1,0.980,0.47992138267802614,0.363941863582574,2382619242280697.5,0.2974949075668865,0.22276579866472992
1,0.960,0.5478817224713699,0.4354003350023016,2792264446141074.5,0.29819065063923117,0.15428524516548167
1,0.940,0.5723727824709754,0.47487779151020143,2981990583542464.0,0.26528034429415054,0.16287118636352477
1,0.920,0.5635270896970477,0.48573797049715284,2985289379190275.0,0.2144376305913895,0.2226673954059616
1,0.900,0.5634552389979317,0.5018181055868547,3017070028751460.0,0.16916251742742539,0.26804123791928813
1,0.880,0.6046088879182019,0.5527557210814205,3249469560210260.5,0.13860010288900776,0.2573291118122566
1,0.860,0.6944784666648355,0.6464318537481443,3713793523722069.5,0.12247861265780975,0.18317267254085226
1,0.840,0.7997758613113729,0.7516516729819772,4217862997387383.0,0.1199069467144116,0.07980266662504822
1,0.820,0.850487628727524,0.8013550530831511,4389705518627168.5,0.12819752620276917,0.020375696022827648
1,0.800,0.8296247320218102,0.7802263599264604,4169722570289263.5,0.14313784060152956,0.02635906049486231
1,0.780,0.800570442498613,0.7494775364291374,3905258423813346.5,0.16733440455774506,0.03156099498356843
1,0.760,0.7888830283574901,0.7357074442174006,3735212354006668.0,0.19482498701911222,0.016171463709653153
1,0.740,0.7531039747435561,0.7014275734068994,3467457194978166.0,0.20322581427703093,0.04390245920470641
1,0.720,0.7071432072556441,0.6594772791781551,3171968665935821.0,0.19291807538826336,0.1003690824126142
1,0.700,0.6947879211834963,0.6479404346679467,3029909644466568.0,0.19430847334650797,0.11147588463329024
1,0.680,0.6958390611559965,0.6459645745180245,2934365235102583.0,0.220349066083124,0.08469421313195134
1,0.660,0.7114481252485757,0.6555301749877797,2890235145718640.0,0.2687336359559628,0.02119262224877872
1,0.640,0.6443183094929893,0.5880485180122113,2514141335303544.5,0.289493249821668,0.06793968813276138
1,0.620,0.4881855396973102,0.44250417026965855,1832760060113429.0,0.23537345690175415,0.27811387196957305
1,0.600,0.4793385844683341,0.43471238253746225,1742407837792282.5,0.21113264714438568,0.3113156374194552
1,0.580,0.6437348631840246,0.582642257928608,2257493601985833.5,0.2473989572835542,0.11115600863676962
1,0.560,0.7026686315724329,0.6299756340486445,2356721880289660.5,0.22323562440534428,0.0760516532707648
1,0.540,0.6943358446959853,0.6282472074674924,2266318172892910.5,0.1226628978048427,0.18281432246102589
1,0.520,0.8664590957412082,0.7908390280812405,2747185540307057.0,0.06097550846750354,0.06817223446438722
1,0.500,0.8450227748166149,0.7503329306185019,2506227933267777.0,0.08787090748842319,0.06383850013586898
1,0.480,0.6107097627061614,0.5169113500603744,1657501233402513.5,0.18750406430939115,0.20189561616653776
1,0.460,0.5563921191883303,0.4186638384624194,1286529761234939.2,0.36060108104924365,0.08409049460866687
1,0.440,0.4559092397671164,0.3207740294644002,942862646822808.6,0.286285189314849,0.2580315278491012
1,0.420,0.44194845839347285,0.29645417226440446,831770305688600.8,0.2621203661799885,0.2957413876373312
1,0.400,0.6349952997332502,0.4260610303398859,1138487742644561.8,0.2953983709920853,0.06892583846421144
1,0.380,0.6094646931584403,0.355971076079963,903638784338588.5,0.2944899205831722,0.09646912676969815
1,0.360,0.6326191029513788,0.3042903010179138,731791170561507.2,0.32272878027036217,0.04636586230859825
1,0.340,0.6143915538470729,0.25300537714207744,574652397566589.0,0.30650070001341695,0.08099973309725207
1,0.320,0.6892506860900319,0.24150177135814163,516258069974355.56,0.2711988340286994,0.041756880803872486
1,0.300,0.7347019295390499,0.1626363715589801,325938367410138.6,0.13421378935429884,0.13395165635246262
2,1.200,0.5354010402814704,0.3749687959295959,3004515424799307.5,0.3143931329328177,0.14967548561067281
2,1.180,0.49659164980990844,0.3481228746479822,2742916784881023.0,0.2922819052958719,0.2106590337497159
2,1.160,0.45409489508397344,0.31849408624575737,2466933404538537.5,0.2679082382398336,0.2775941282567401
2,1.140,0.414660636252609,0.2908398803040226,2213894249883331.8,0.24523792599282396,0.339758369506047
2,1.120,0.3826769757232742,0.2682641321790705,2006220650042665.5,0.22687748630247917,0.3901537955945497
2,1.100,0.36049933839006193,0.25243034403577835,1854096388893970.8,0.21425342548929868,0.42499784417194353
2,1.080,0.34606495860280767,0.24439030332483364,1762405297676663.2,0.21002930752228532,0.4437132085650603
2,1.060,0.3434734431408721,0.2447165977088556,1732077638931137.0,0.21270847069494972,0.44368362582420917
2,1.040,0.35304206659211906,0.2537643674929425,1762227780152286.5,0.22369667443733676,0.42318602785365056
2,1.020,0.3752516350047478,0.27190499106469807,1851890974160188.8,0.24358168100185687,0.3811574727473635
2,1.000,0.4083640840472194,0.2979784747497458,1989678726519685.2,0.27154403388732296,0.32016223611989264
2,0.980,0.4796096169388477,0.36369553787417847,2379918649295739.5,0.29731223034242127,0.22328927724085676
2,0.960,0.547894221435156,0.43540083190012085,2790991740358009.5,0.2982142615988978,0.15429036934574258
2,0.940,0.5728465000428737,0.47526251698557204,2983042775594474.5,0.265520638162182,0.16220545015221186
2,0.920,0.5642040069603659,0.4863144031952733,2987466357730564.5,0.21471689991238602,0.2217598623992194
2,0.900,0.5640251569620149,0.5023194191172556,3018704074773319.5,0.16935479222362193,0.26732439037448175
2,0.880,0.6049048627990633,0.553020093753495,3249538205022867.0,0.13868864801783484,0.2569856727399399
2,0.860,0.6944498576671687,0.6463981674781759,3711903109929619.5,0.12249451297858661,0.18322224681729238
2,0.840,0.7995632143202315,0.7514432570636799,4214766713529986.5,0.11989746197423981,0.08005918256727387
2,0.820,0.8503853770276941,0.8012488191139733,4387118028343389.0,0.1282069900445367,0.020507874527820564
2,0.800,0.8296508574722646,0.7802407957794698,4167894380233987.5,0.14317021962412527,0.026359582731473166
2,0.780,0.8005728045201971,0.7494697851314299,3903433593114982.5,0.1673673987532183,0.031612960366994555
2,0.760,0.788983174107134,0.7357909068959323,3733929143854108.5,0.19488858838383236,0.01611448439612616
2,0.740,0.7534564749691813,0.701746476209133,3467448535868595.5,0.20336316209485136,0.04351848040561891
2,0.720,0.7074664246249519,0.6597703461865985,3171928229966645.5,0.19304695412983086,0.10001159033361744
2,0.700,0.6948480016478764,0.6479888533731639,3028751477310181.0,0.19436409047302344,0.11145318103642432
2,0.680,0.6956028410083867,0.6457382515297884,2931996785581756.0,0.2203133540480386,0.08506494507269974
2,0.660,0.7112072360115899,0.6553023831693534,2887910612114927.0,0.2686838296446171,0.021581626328821237
2,0.640,0.644913841822876,0.5885902158172851,2515307444609905.5,0.2898003616730754,0.06711114336194567
2,0.620,0.4887958431376623,0.4430617062379088,1834230745526213.2,0.23569900245816983,0.27721117056829486
2,0.600,0.4791650621975789,0.43456521410131926,1741022057064417.8,0.2110838503501941,0.3115426717265266
2,0.580,0.6430060491505263,0.5820022289588475,2253983358150329.5,0.24714810112054272,0.11211290115875601
2,0.560,0.7033055678626529,0.6305710726597278,2357871507110478.0,0.2234668298397583,0.07513821732494083
2,0.540,0.6945011384846563,0.628408607296944,2265864568967142.5,0.12270688851313408,0.1825456108584723
2,0.520,0.8657424184542053,0.7901870643073294,2743666516297017.5,0.060921058014626675,0.06883201582448807
2,0.500,0.8456629364419314,0.7509065599934495,2506997878416916.0,0.08789500153913156,0.06292740724090667
2,0.480,0.6108888577416106,0.5171166099798894,1657401733659163.0,0.18739576850864592,0.20157541378419025
2,0.460,0.5559228418027516,0.418426801931616,1285213830528432.8,0.3600991053603211,0.08484559253405934
2,0.440,0.45692328644806846,0.32153664305178153,944672370600421.8,0.28683760405309233,0.256339068576513
2,0.420,0.441312315388902,0.29604027638025365,830229489068375.0,0.26168221233366246,0.2967176176778071
2,0.400,0.6356881103233277,0.42649468717974687,1139125779830756.5,0.2956409472305943,0.06791277793933101
2,0.380,0.6091247991563539,0.35572299518199857,902596407757047.5,0.29423362484898274,0.09703401475507625
2,0.360,0.6325293762467232,0.3042158017684772,731277705347534.4,0.32255544780950973,0.04662183168970937
2,0.340,0.6148062032721069,0.2532079422629918,574849694160184.0,0.3066409918572746,0.08041860450619824
2,0.320,0.6886548827127419,0.24125246796875133,515489480121333.9,0.27082171966629737,0.04263228018658859
2,0.300,0.734591534549163,0.16258440542264033,325685336504550.0,0.13415027642904553,0.13409230856536072
3,1.200,0.5361164789705585,0.3754289402455868,3005910909616664.0,0.31478558378415494,0.14859639720479464
3,1.180,0.49749245713740875,0.34871760286859244,2745509741603415.5,0.2927866577175905,0.20927940785155769
3,1.160,0.4550261739002039,0.31911476349615164,2469858068939752.5,0.26843508449225884,0.2761591169546641
3,1.140,0.41550489764963877,0.29140337854856224,2216493923990042.2,0.2457176889960463,0.3384550095238051
