Tilt Angle (degrees),Thickness (nm),Power (kWh/m²/a),Grad Tilt (kWh/deg),Grad Thickness (kWh/nm)
60.0,260.0,151.894775390625,-1.9546533823013306,-0.18964681029319763
60.0,280.0,147.67591857910156,-1.8775113821029663,-0.2299116849899292
60.0,300.0,143.10128784179688,-1.8093918561935425,-0.09748634696006775
70.0,100.0,132.40200805664062,-2.1482856273651123,-0.5407058596611023
70.0,120.0,128.330810546875,-2.0724587440490723,0.0038380324840545654
70.0,140.0,129.77745056152344,-2.0933454036712646,0.08637750148773193
70.0,160.0,130.6859130859375,-2.097707986831665,0.04104924201965332
70.0,180.0,132.34461975097656,-2.1112987995147705,0.07966934144496918
70.0,200.0,132.48941040039062,-2.0937552452087402,-0.6137027740478516
70.0,220.0,132.6671905517578,-2.0804600715637207,-0.048262253403663635
70.0,240.0,131.38658142089844,-2.04181170463562,-0.09797614812850952
70.0,260.0,129.47048950195312,-1.990058422088623,-0.15682867169380188
70.0,280.0,125.993408203125,-1.9135825634002686,-0.19137826561927795
70.0,300.0,122.13030242919922,-1.8378881216049194,-0.08364611864089966
80.0,100.0,108.13219451904297,-2.1914875507354736,-0.44108152389526367
80.0,120.0,104.78022003173828,-2.1196298599243164,0.00046494603157043457
80.0,140.0,105.86726379394531,-2.1380693912506104,0.06667976081371307
80.0,160.0,106.50237274169922,-2.1418581008911133,0.026985689997673035
80.0,180.0,107.69849395751953,-2.149348497390747,0.054158374667167664
80.0,200.0,107.63766479492188,-2.124455213546753,-0.5119456052780151
80.0,220.0,107.6310806274414,-2.10758113861084,-0.044561728835105896
80.0,240.0,106.5374526977539,-2.069777488708496,-0.07866623997688293
80.0,260.0,105.03923797607422,-2.0197112560272217,-0.12252674251794815
80.0,280.0,102.308837890625,-1.9440851211547852,-0.15095935761928558
80.0,300.0,99.23213195800781,-1.8658394813537598,-0.06695152819156647
90.0,100.0,84.27306365966797,-1.6602016687393188,-0.34382107853889465
90.0,120.0,81.68135070800781,-1.6002166271209717,0.001232236623764038
90.0,140.0,82.53050994873047,-1.606694221496582,0.05193474143743515
90.0,160.0,83.00514221191406,-1.602928876876831,0.018755599856376648
90.0,180.0,83.89486694335938,-1.5933008193969727,0.037836432456970215
90.0,200.0,83.7843246459961,-1.562241792678833,-0.4106872081756592
90.0,220.0,83.6872787475586,-1.5420889854431152,-0.038318097591400146
90.0,240.0,82.77881622314453,-1.5118367671966553,-0.06142628937959671
90.0,260.0,81.63951110839844,-1.4711402654647827,-0.0933624804019928
90.0,280.0,79.57036590576172,-1.414292812347412,-0.11417974531650543
90.0,300.0,77.23117065429688,-1.3527212142944336,-0.049292534589767456
