Tilt Angle (degrees),Thickness (nm),Power (kWh/m²/a),Grad Tilt (kWh/deg),Grad Thickness (kWh/nm)
40.0,100.0,144.9359893798828,-0.5669263601303101,-0.5788467526435852
40.0,120.0,140.7906494140625,-0.554974377155304,0.025736793875694275
40.0,140.0,142.89422607421875,-0.5703743100166321,0.12436734139919281
40.0,160.0,144.5860137939453,-0.5832608342170715,0.08529826998710632
40.0,180.0,147.40695190429688,-0.5985826253890991,0.16881099343299866
40.0,200.0,148.9607696533203,-0.6045671105384827,-0.6090493202209473
40.0,220.0,149.9185333251953,-0.6050364375114441,-0.03237360715866089
40.0,240.0,148.6387176513672,-0.5962227582931519,-0.11645939946174622
40.0,260.0,146.1918182373047,-0.5833602547645569,-0.19485805928707123
40.0,280.0,141.9623260498047,-0.5654385685920715,-0.2270754724740982
40.0,300.0,137.53366088867188,-0.5469971299171448,-0.092477947473526
50.0,100.0,138.8164520263672,-0.6317423582077026,-0.5567777752876282
50.0,120.0,134.76832580566406,-0.6140210628509521,0.01926654577255249
50.0,140.0,136.6634063720703,-0.6242349147796631,0.11358270049095154
50.0,160.0,138.16281127929688,-0.6321784257888794,0.07571808993816376
50.0,180.0,140.76290893554688,-0.641615629196167,0.15766599774360657
50.0,200.0,142.19424438476562,-0.6430174112319946,-0.5786424875259399
50.0,220.0,143.12376403808594,-0.6411237716674805,-0.029233962297439575
50.0,240.0,141.93832397460938,-0.6262624263763428,-0.1086721420288086
50.0,260.0,139.65606689453125,-0.6073219776153564,-0.18315652012825012
50.0,280.0,135.656982421875,-0.5839293003082275,-0.21535000205039978
50.0,300.0,131.43601989746094,-0.564591646194458,-0.08783182501792908
60.0,100.0,129.9632568359375,-1.19189453125,-0.524978756904602
60.0,120.0,126.04624938964844,-1.1586616039276123,0.009090811014175415
60.0,140.0,127.62415313720703,-1.1773414611816406,0.09604685008525848
60.0,160.0,128.8246307373047,-1.1906355619430542,0.061203733086586
60.0,180.0,131.06033325195312,-1.2094717025756836,0.13802050054073334
60.0,200.0,132.20977783203125,-1.2158665657043457,-0.5475277900695801
60.0,220.0,132.983154296875,-1.2172471284866333,-0.028551340103149414
60.0,240.0,131.89125061035156,-1.1954386234283447,-0.0988374799489975
60.0,260.0,129.848876953125,-1.1654367446899414,-0.1657438576221466
60.0,280.0,126.2025146484375,-1.1217267513275146,-0.1980510801076889
60.0,300.0,122.28572845458984,-1.0830003023147583,-0.08238786458969116
70.0,100.0,118.23212432861328,-1.3274191617965698,-0.4819779396057129
70.0,120.0,114.53278350830078,-1.286549687385559,-0.00117473304271698
70.0,140.0,115.76158142089844,-1.3005708456039429,0.07673931121826172
70.0,160.0,116.63518524169922,-1.3087042570114136,0.04424428939819336
70.0,180.0,118.44058227539062,-1.3214716911315918,0.11466062068939209
70.0,200.0,119.232421875,-1.3234922885894775,-0.5095855593681335
70.0,220.0,119.77045440673828,-1.3221633434295654,-0.030361518263816833
70.0,240.0,118.76095581054688,-1.2979775667190552,-0.08823825418949127
70.0,260.0,116.96597290039062,-1.266152024269104,-0.14588075876235962
70.0,280.0,113.75399780273438,-1.218766212463379,-0.1749195009469986
70.0,300.0,110.25025939941406,-1.1700284481048584,-0.07560978829860687
80.0,100.0,103.64238739013672,-1.5563899278640747,-0.42643722891807556
80.0,120.0,100.29163360595703,-1.5062260627746582,-0.00735020637512207
80.0,140.0,101.21739196777344,-1.5196384191513062,0.059080928564071655
80.0,160.0,101.79029846191406,-1.5268962383270264,0.027636855840682983
80.0,180.0,103.17475891113281,-1.5358576774597168,0.08970503509044647
80.0,200.0,103.59821319580078,-1.5341639518737793,-0.46182888746261597
80.0,220.0,103.89665222167969,-1.5302131175994873,-0.03241643309593201
80.0,240.0,102.9681167602539,-1.5058448314666748,-0.07511554658412933
80.0,260.0,101.443603515625,-1.4683477878570557,-0.1252257525920868
80.0,280.0,98.69221496582031,-1.418468713760376,-0.14956322312355042
80.0,300.0,95.69695281982422,-1.3637306690216064,-0.06400765478610992
90.0,100.0,86.42060852050781,-1.3838073015213013,-0.358498215675354
90.0,120.0,83.56592559814453,-1.3340154886245728,-0.010029628872871399
90.0,140.0,84.22807312011719,-1.3404314517974854,0.042989470064640045
90.0,160.0,84.57305145263672,-1.3344225883483887,0.01631232351064682
90.0,180.0,85.59815979003906,-1.3294907808303833,0.0636977106332779
90.0,200.0,85.72603607177734,-1.3150016069412231,-0.39826133847236633
90.0,220.0,85.8285903930664,-1.303460717201233,-0.032372429966926575
90.0,240.0,84.99301147460938,-1.278828501701355,-0.06267042458057404
90.0,260.0,83.76740264892578,-1.2457547187805176,-0.10121134668588638
90.0,280.0,81.51457214355469,-1.1994116306304932,-0.12328610569238663
90.0,300.0,79.0557861328125,-1.1553095579147339,-0.05139248073101044
